age,clubID,clubLocation,clubName,eventEndTime,eventID,eventName,eventStartTime,lat,long,province,cnt
13,140,"45 Corey Ave., Petitcodiac, E4Z 4G3, NB",Petitcodiac Boys and Girls Club Inc.,18,38,Pancake breakfast in am,13,45.932414,-65.183547,NB,1
6,170,"843 Palmerston Avenue, Toronto, M6G 2R8, ON",St. Alban's Boys and Girls Club,18,15,"Popcorn picnic, with Unplug to Connect packages distributed to all families",16,43.671419,-79.415682,ON,1
16,163,"527 Len Self Blvd, Midland, L4R 5N6, ON",Boys and Girls Clubs of North Simcoe,18,42,Tacky clothes day,13,44.744028,-79.881806,ON,1
17,149,"155 Airport Blvd., Gander, A1V 1W5, NL",Gander Boys and Girls Club,18,24,Chalk mural,12,48.958229,-54.61175,NL,1
8,150,"111 West St., Sydney, B1N 1S3 ‎, NS",Boys and Girls Clubs of Cape Breton-Whitney Pier Youth Club,18,32,Painting class,15,46.159691,-60.181195,NS,1
15,181,"165 Avenue Proulx, Québec , G1M 1W7, QC",Régional des maisons de jeunes de Québec,16,42,Tacky clothes day,12,46.813812,-71.257126,QC,1
15,176,"180 North College Avenue, Sarnia, N7T 7X2, ON",Boys and Girls Club of Sarnia/Lambton,16,4,Dunk for Diabetes event,11,42.97341,-82.401201,ON,1
17,136,"1 Paul Harris Street, Saint John, E2L 3V9, NB",The Boys and Girls Club of Saint John Inc.,18,37,Glow dance in pm,11,45.278527,-66.052811,NB,1
17,136,"1 Paul Harris Street, Saint John, E2L 3V9, NB",The Boys and Girls Club of Saint John Inc.,16,38,Pancake breakfast in am,12,45.278527,-66.052811,NB,1
15,182,"5593 Rue Jean-Paul Lavergne, Trois-Rivieres , G8Y 3Y5, QC",Maison Coup De Pouce T.R.,16,43,Summer BBQ,11,46.357095,-72.606973,QC,1
13,181,"165 Avenue Proulx, Québec , G1M 1W7, QC",Régional des maisons de jeunes de Québec,16,42,Tacky clothes day,12,46.813812,-71.257126,QC,1
17,183,"666 Woodland Avenue, Verdun , H4H 1V8, QC",Boys and Girls Clubs of Dawson,17,4,Dunk for Diabetes event,11,45.452447,-73.573858,QC,1
9,147,"272 West Street, St. Anthony, A0K 4S0, NL",St. Anthony and Area Boys and Girls Club,18,41,Street clean-up,14,51.360741,-55.581977,NL,1
14,154,"11 Bond Street, Yarmouth, B5A 1P6, NS",Boys and Girls Club of Yarmouth,17,11,Games in the field,13,43.827026,-66.120342,NS,1
