clubID,Title,Latitude,Longitude,Address Line 1,City,Province,Postal Code,URL,CombinedAddress
100,Boys and Girls Club of St. Paul & District,53.99106,-111.293202,4821 - 50 Ave.,St. Paul,AB,T0A 3A0,https://www.bgccan.com,"4821 - 50 Ave., St. Paul, T0A 3A0, AB"
101,Saddle Lake Boys and Girls Club,53.9698566,-111.6925336,404D-50 St.,Saddle Lake,AB,T0A 3T0,https://www.bgccan.com,"404D-50 St., Saddle Lake, T0A 3T0, AB"
102,Boys and Girls Clubs of Bashaw & Area,52.582834,-112.97217,4903 - 50 Avenue,Bashaw,AB,T0B 0H0,https://www.bgccan.com,"4903 - 50 Avenue, Bashaw, T0B 0H0, AB"
103,Stettler & District Boys and Girls Club,52.326772,-112.701204,Heartland Youth Center,Stettler,AB,T0C 2L0,http://stettler.bgccan.com,"Heartland Youth Center, Stettler, T0C 2L0, AB"
104,Boys and Girls Club of Slave Lake,55.2787161,-114.8035089,Box 232,Slave Lake,AB,T0G 2A2,https://www.bgccan.com,"Box 232, Slave Lake, T0G 2A2, AB"
105,Boys and Girls Clubs of the Foothills,50.683054,-114.238306,"611 - 3rd Street, S.W.",Black Diamond,AB,T0L 0H0,http://www.bgcfoothills.com,"611 - 3rd Street, S.W., Black Diamond, T0L 0H0, AB"
106,Boys and Girls Club of Lethbridge & District,49.711237,-112.822457,1405 - 8th Ave. North,Lethbridge,AB,T1H 6N9,http://www.bgclethbridge.com,"1405 - 8th Ave. North, Lethbridge, T1H 6N9, AB"
107,Boys and Girls Clubs of Calgary,51.063808,-114.047718,731 13 Avenue N.E.,Calgary,AB,T2E 1C8,http://www.boysandgirlsclubsofcalgary.ca,"731 13 Avenue N.E., Calgary, T2E 1C8, AB"
108,Boys and Girls Club of Airdrie,51.285483,-114.005169,1003 Allen Street S.E.,Airdrie,AB,T4B 1B3,http://airdrie.bgccan.com,"1003 Allen Street S.E., Airdrie, T4B 1B3, AB"
109,Boys and Girls Club of Cochrane and Area,51.188976,-114.475773,P.O. Box 1554,Cochrane,AB,T4C 1B5,http://www.bgccochrane.ca,"P.O. Box 1554, Cochrane, T4C 1B5, AB"
110,Boys & Girls Club of Olds & Area,51.791426,-114.107006,5021 51st Street,Olds,AB,T4H 1P8,http://olds.bgccan.com,"5021 51st Street, Olds, T4H 1P8, AB"
111,Boys & Girls Club of Wolf Creek - Ponoka,52.675906,-113.57935,P.O. Box 4115,Ponoka,AB,T4J 1R5,https://www.bgccan.com,"P.O. Box 4115, Ponoka, T4J 1R5, AB"
